status,warehouse_code,item_code,item_name,wms_shelf,expected_oracle_shelf,oracle_shelves,lot_count,total_lot_current,total_lot_available,oracle_products
match,91,152252,　バルディビエソ　カベルネソーヴィニヨン　７５０ｍｌ,I14208,I14208,I14208,1,5,4,152252000:I14208:0:1138:5
match,91,152254,　マトゥア　リージョナル　ピノノワール　７５０ｍｌ,I05113,I05113,I05113,1,5,5,152254000:I05113:0:1202:5
match,91,152260,　ピエールレミー　ピノノワール　３７５ｍｌ,I15406,I15406,I15406,1,15,15,152260000:I15406:0:1330:19
match,91,152267,　ジャンクロードマス　ソーヴィニヨンブラン　レゼルヴ　７５０ｍｌ,I03316,I03316,I03316,1,3,3,152267000:I03316:0:1138:3
match,91,152275,　ジャンクロードマス　シャルドネ　レゼルヴ　７５０ｍｌ,I09301,I09301,I09301,1,7,7,152275000:I09301:0:1138:13
match,91,152296,　モンテス　アルファ　メルロ　７５０ｍｌ,I04108,I04108,I04108,1,5,5,152296000:I04108:0:1002:5
match,91,152301,　コノスル　ソーヴィニヨンブラン　７５０ｍｌ,B02108,B02108,B02108,2,24,23,152301000:B02108:0:1002:32
match,91,152318,　ヴィニウス　リザーブ　ヴィオニエ　７５０ｍｌ,I07408,I07408,I07408,1,9,9,152318000:I07408:0:1002:9
match,91,152320,　フランジア　白　７５０ｍｌ,E10305,E10305,E10305,1,8,8,152320000:E10305:0:1330:8
match,91,152324,　レ　タンヌ　オクシタン　メルロ　７５０ｍｌ,I04416,I04416,I04416,2,2,2,152324000:I04416:0:1138:4
match,91,152329,　フランジア　バックインボックス（赤）３Ｌ,I18206,I18206,I18206,4,40,40,152329000:I18206:0:1330:18
match,91,152331,　サントリー　カップワイン赤　１８０ｍｌ,E02306,E02306,E02306,1,13,13,152331000:E02306:0:1021:0
match,91,152332,　フランジア　バックインボックス（白）３Ｌ,I17202,I17202,I17202,4,39,39,152332000:I17202:0:1330:17
match,91,152333,　コノスル　ゲヴュルツトラミネール　７５０ｍｌ,B01204,B01204,B01204,2,35,35,152333000:B01204:0:1002:23
match,91,152337,　ザリティエ　コントラフォン　マコンヴィラージュ　７５０ｍｌ,I07421,I07421,I07421,1,4,4,152337000:I07421:0:1002:4
match,91,152340,　ＬＬ　マコンヴィラージュ　シャムロワ　７５０ｍｌ,I03505,I03505,I03505,1,2,2,152340000:I03505:0:1002:2
match,91,152344,　レ　タンヌ　オクシタン　カベルネソービニヨン　３７５ｍｌ,I05512,I05512,I05512,1,4,4,152344000:I05512:0:1138:4
match,91,152345,　レ　タンヌ　オクシタン　シャルドネ　３７５ｍｌ,I05518,I05518,I05518,1,3,3,152345000:I05518:0:1138:3
match,91,152347,　サントリー　カップワイン　白　１８０ｍｌ,E02307,E02307,E02307,2,27,27,152347000:E02307:0:1021:3
