location_source,item_id,item_code,mysql_item_name,real_stock_id,source_id,lot_status,lot_current_quantity,lot_reserved_quantity,location_id,location_floor_id,mysql_shelf,mysql_shelf_norm,location_name
lot,157057,157057,　エンリケッシュ　マデイラ　フルリッチ　７５０ｍｌ,31620,31461,ACTIVE,2,0,2046,11,I-06-207,I06207,I06207
default,157076,157076,　ファミーユペラン　レゼルヴ　ブラン　７５０ｍｌ,,34592,,,,1869,11,I-03-101,I03101,I03101
lot,157076,157076,　ファミーユペラン　レゼルヴ　ブラン　７５０ｍｌ,31621,31462,ACTIVE,14,0,1869,11,I-03-101,I03101,I03101
default,157111,157111,　カーニヴォ　カベルネソービニヨン７５０ｍｌ,,48945,,,,2042,11,I-06-203,I06203,I06203
lot,157111,157111,　カーニヴォ　カベルネソービニヨン７５０ｍｌ,31622,31463,ACTIVE,11,0,2042,11,I-06-203,I06203,I06203
default,157114,157114,　コノスル　シャルドネ　オーガニック　７５０ｍｌ,,33982,,,,477,11,B-01-202,B01202,B01202
lot,157114,157114,　コノスル　シャルドネ　オーガニック　７５０ｍｌ,31623,31464,ACTIVE,18,-1,477,11,B-01-202,B01202,B01202
lot,157114,157114,　コノスル　シャルドネ　オーガニック　７５０ｍｌ,31623,55097,ACTIVE,12,0,477,11,B-01-202,B01202,B01202
default,157115,157115,　コノスル　ピノノワール　オーガニック　７５０ｍｌ,,34198,,,,476,11,B-01-201,B01201,B01201
lot,157115,157115,　コノスル　ピノノワール　オーガニック　７５０ｍｌ,31624,31465,ACTIVE,17,-3,476,11,B-01-201,B01201,B01201
default,157119,157119,　シックスエイトナイン　ナパヴァレー　レッド　７５０ｍｌ,,46769,,,,1901,11,I-03-317,I03317,I03317
lot,157119,157119,　シックスエイトナイン　ナパヴァレー　レッド　７５０ｍｌ,31625,31466,ACTIVE,2,0,1901,11,I-03-317,I03317,I03317
default,157121,157121,　ポールマス　クロードヴァル　ロゼ　７５０ｍｌ,,21366,,,,2671,10,YX-0-000,YX0000,YX0000
default,157135,157135,　カサベナサル　ゲヴルツトラミネール　モスカテル　７５０ｍｌ,,6989,,,,327,11,Z-0-0,Z00,デフォルト
