item_code,parent_current_quantity,oracle_shelves,oracle_stock_shelves,mysql_default_shelves,mysql_nonzero_lot_shelves,issue
156716,,,,Z00,,mysql_location_but_oracle_no_shelf
156748,7,,,Z00,Z00,mysql_location_but_oracle_no_shelf
156758,4,,,Z00,Z00,mysql_location_but_oracle_no_shelf
156763,20,,,Z00,Z00,mysql_location_but_oracle_no_shelf
156865,1,,,,Z00,mysql_location_but_oracle_no_shelf
156876,120,,,,Z00,mysql_location_but_oracle_no_shelf
156889,12,,,Z00,Z00,mysql_location_but_oracle_no_shelf
156899,120,,,,Z00,mysql_location_but_oracle_no_shelf
156904,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
156905,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
156930,7,,,Z00,Z00,mysql_location_but_oracle_no_shelf
156932,120,,,,Z00,mysql_location_but_oracle_no_shelf
156934,124,,,Z00,Z00,mysql_location_but_oracle_no_shelf
156962,120,,,,Z00,mysql_location_but_oracle_no_shelf
156969,,,,Z00,,mysql_location_but_oracle_no_shelf
157002,,,,Z00,,mysql_location_but_oracle_no_shelf
157025,31,,,Z00,Z00,mysql_location_but_oracle_no_shelf
157135,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
157137,3,,,,Z00,mysql_location_but_oracle_no_shelf
157160,2,,,Z00,Z00,mysql_location_but_oracle_no_shelf
157201,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
157241,39,,,Z00,Z00,mysql_location_but_oracle_no_shelf
157326,3,,,Z00,Z00,mysql_location_but_oracle_no_shelf
157466,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
157557,10,,,Z00,Z00,mysql_location_but_oracle_no_shelf
157659,18,,,Z00,Z00,mysql_location_but_oracle_no_shelf
157751,19,,,Z00,Z00,mysql_location_but_oracle_no_shelf
157840,,,,Z00,,mysql_location_but_oracle_no_shelf
157848,6,,,Z00,Z00,mysql_location_but_oracle_no_shelf
157851,4,,,Z00,Z00,mysql_location_but_oracle_no_shelf
157867,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
157904,5,,,Z00,Z00,mysql_location_but_oracle_no_shelf
157956,9,,,Z00,Z00,mysql_location_but_oracle_no_shelf
157957,7,,,Z00,Z00,mysql_location_but_oracle_no_shelf
158013,,,,Z00,,mysql_location_but_oracle_no_shelf
158022,38,,,Z00,Z00,mysql_location_but_oracle_no_shelf
158023,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
158116,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
158117,1,,,Z00,Z00,mysql_location_but_oracle_no_shelf
158126,,,,Z00,,mysql_location_but_oracle_no_shelf
