store_code,item_code,product_code,oracle_shelf,oracle_shelf_norm,sales_flag,vendor_cd,oracle_current_stock
91,112077,112077000,,,0,1202,0
91,112078,112078000,,,0,1021,0
91,112079,112079000,,,0,1013,0
91,112079,112079100,,,,,0
91,112079,112079200,,,,,0
91,112079,112079900,,,,,0
91,112080,112080000,E09106,E09106,0,1825,4
91,112081,112081000,,,0,1021,0
91,112082,112082000,,,0,1202,0
91,112083,112083000,,,0,1202,0
91,112083,112083001,E01101,E01101,,,0
91,112083,112083002,E01101,E01101,,,0
91,112083,112083100,E01101,E01101,,,0
91,112083,112083101,E01101,E01101,,,0
91,112083,112083200,E01101,E01101,,,0
91,112083,112083201,E01101,E01101,,,0
91,112083,112083900,E01101,E01101,,,0
91,112083,112083901,E01101,E01101,,,0
91,112084,112084000,,,0,1202,0
91,112085,112085000,,,0,1202,0
91,112086,112086000,W09104,W09104,0,1202,201
91,112086,112086001,W04101,W04101,,,201
91,112086,112086100,W04101,W04101,,,201
91,112086,112086200,W04101,W04101,,,201
91,112086,112086900,W04101,W04101,,,201
91,112088,112088000,,,0,1202,0
91,112089,112089000,,,0,1166,0
91,112090,112090000,,,0,1013,0
91,112091,112091000,,,0,1013,0
91,112092,112092000,,,0,1013,0
91,112093,112093000,,,0,1013,0
91,112094,112094000,AW0000,AW0000,0,1202,0
91,112095,112095000,,,0,1013,0
91,112095,112095200,,,,,0
91,112097,112097000,,,0,0000,0
91,112098,112098000,F07106,F07106,0,1370,16
91,112101,112101000,,,0,9012,0
91,112102,112102000,,,0,1694,0
91,112103,112103000,AW0000,AW0000,0,2018,146
91,112104,112104000,,,0,1013,0
91,112105,112105000,,,0,1012,0
91,112106,112106000,,,0,1202,0
91,112107,112107000,,,0,1012,0
91,112108,112108000,,,0,1013,0
91,112109,112109000,,,0,1202,0
91,112110,112110000,F06103,F06103,0,1370,33
91,112111,112111000,Q00000,Q00000,0,1460,0
91,112112,112112000,,,0,1166,0
91,112113,112113000,,,0,1012,0
91,112114,112114000,,,0,1012,0
