real_stock_id	item_id	item_code	item_name	current_quantity	reserved_quantity	available_quantity	patch_location_id	patch_floor_id	patch_location_code
40629	162037	162037	　エリストフ　ウォッカ　７００ｍｌ	5	0	5	10	10	ZZ-1
42488	151257	151257	　メルシャン　ビストロ　ボックス　白　パック　１．８Ｌ	5	0	5	10	10	ZZ-1
44230	119044	119044	　小浜酒造純米吟醸わかさ７２０ｍｌ	5	0	5	10	10	ZZ-1
46135	152567	152567	　ＬＬシャブリ　プルミエ　クリュ７５０ｍｌ	5	0	5	10	10	ZZ-1
50405	153606	153606	　ヴィアヘロ　赤　３Ｌ	5	0	5	10	10	ZZ-1
21678	154016	154016	　チンザノ　ロッソ　１Ｌ	4	0	4	10	10	ZZ-1
21682	154145	154145	　モンメイラック　白　７５０ｍｌ	4	0	4	10	10	ZZ-1
21685	154154	154154	　エゴット　メルロサンジョベーゼ　３Ｌ	4	0	4	327	10	Z-0-0
21697	154413	154413	　プリュレロック　ニュイサンジョルジュ　クロデコルヴェ　７５０ｍｌ	4	0	4	10	10	ZZ-1
21709	154524	154524	　ＬＬ　ピュリニーモンラッシェ　ルフェール　７５０ｍｌ	4	0	4	10	10	ZZ-1
23604	122957	122957	　２５°橙華１．８Ｌ（芋）	4	0	4	10	10	ZZ-1
23668	155083	155083	　ニコラ　フィアット　パルムドール　ブリュット　７５０ｍｌ	4	0	4	10	10	ZZ-1
25506	123261	123261	×２５°西郷が里５Ｌ（芋）	4	0	4	10	10	ZZ-1
25528	123342	123342	　３０°ニコニコ太郎１．８Ｌ（泡盛）	4	0	4	10	10	ZZ-1
25594	155348	155348	×マム　グランコルドン　７５０ｍｌ	4	0	4	10	10	ZZ-1
27410	123908	123908	　２０°西の星１．８Ｌ（麦）	4	0	4	327	10	Z-0-0
27560	210895	210895	　雜賀　ノンアルコール柚　ロックンユズ　７２０ｍｌ	4	0	4	327	10	Z-0-0
29579	156758	156758	　フランソワラベ　ピノノワール　７５０ｍｌ	4	0	4	10	10	ZZ-1
31610	156934	156934	　コセチャ　シャルドネ　７５０ｍｌ	4	0	4	10	10	ZZ-1
35647	157851	157851	　　ヴァレ　ド　オーメン　ブランコ　７５０ｍｌ	4	0	4	10	10	ZZ-1
35686	158201	158201	　ミッシェルリンチ　ボルドーブラン　７５０ｍｌ	4	0	4	10	10	ZZ-1
35782	941002	941002	　立力やわらか牛カルビ１Ｋｇ	4	0	4	10	10	ZZ-1
37366	112386	112386	　雲乃井　純米酒　福雲７２０ｍｌ	4	0	4	10	10	ZZ-1
37448	158426	158426	　パラヒメネス　シャルドネ　オーガニック　７５０ｍｌ	4	0	4	10	10	ZZ-1
40626	162021	162021	　ロンリコ　ホワイト　４０°（正規）　７００ｍｌ	4	0	4	10	10	ZZ-1
40724	231608	231608	　Ｓ＆Ｂ　金沢風カツカレーソース３Ｋｇ	4	0	4	327	10	Z-0-0
42426	114058	114058	　白鶴米だけのまる　純米酒パック９００ｍｌ	4	0	4	10	10	ZZ-1
42470	151106	151106	　勝沼醸造　甲州　穂坂　７５０ｍｌ	4	0	4	10	10	ZZ-1
44216	118713	118713	　初孫生もと純米本辛口　魔斬１．８Ｌ（まきり）	4	0	4	327	10	Z-0-0
44270	151672	151672	　白山やまぶどうワイン　梅スパーク　３７５ｍｌ	4	0	4	10	10	ZZ-1
46114	152435	152435	　フォルタン　カベルネソービニヨン　７５０ｍｌ	4	0	4	10	10	ZZ-1
48232	152738	152738	　サンタヘレナ　アルパカ　ソービニヨンブラン　７５０ｍｌ	4	0	4	10	10	ZZ-1
48281	172223	172223	×ボルスモヒート　７００ｍｌ	4	0	4	10	10	ZZ-1
50418	153798	153798	　シャトー　トゥール　サンヴァンサン　７５０ｍｌ	4	0	4	10	10	ZZ-1
51737	215031	215031	　キリン　生茶　５２５ｍｌペット	4	0	4	327	10	Z-0-0
51873	251031	251031	　アサヒ　スタイルバランス　和梨サワー３５０ｍｌ	4	0	4	327	10	Z-0-0
52058	212069	212069	　カゴメ　野菜生活１００　１９０ｇ	4	0	4	327	10	Z-0-0
21715	154611	154611	　ブシャール　ペール　エ　フィス　シャンベルタン　クロ　ド　ベーズ　７５０ｍｌ	3	0	3	10	10	ZZ-1
21806	410109	410109	　クタール　ソムリエナイフ　１個	3	0	3	10	10	ZZ-1
23612	123013	123013	×２５°黒丸１．８Ｌ（芋）	3	0	3	10	10	ZZ-1
23680	155142	155142	　ペリエジュエ　ベルエポック　ブランドブラン　７５０ｍｌ	3	0	3	10	10	ZZ-1
23692	155187	155187	　エンジェルシャンパン　ブリュットロゼ　ホワイト　	3	0	3	10	10	ZZ-1
23709	155254	155254	　ローランペリエ　グランシエクル　７５０ｍｌ	3	0	3	10	10	ZZ-1
25602	155400	155400	　ロータリ　タレン　ブリュット　ロゼ　７５０ｍｌ	3	0	3	327	10	Z-0-0
25617	155473	155473	　レミーパニエ　ブーケドール　ロゼ　７５０ｍｌ	3	0	3	10	10	ZZ-1
25619	155492	155492	　パルムドール　ロゼ　インテンス　７５０ｍｌ	3	0	3	10	10	ZZ-1
25621	155503	155503	　ニコラフィアット　エクスクルーシブ　ブリュット　３７５ｍｌ	3	0	3	10	10	ZZ-1
27469	155764	155764	　ボランジェ　ＰＮＶＺ　７５０ｍｌ	3	0	3	10	10	ZZ-1
33658	157326	157326	　ムーチョマス　赤　７５０ｍｌ	3	0	3	10	10	ZZ-1
35768	722031	722031	　空容器　ボンベ　１０Ｋｇ	3	0	3	10	10	ZZ-1
37382	112471	112471	　畠山酒造雪きらら　純米酒７２０ｍｌ	3	0	3	10	10	ZZ-1
38896	112558	112558	　一乃谷上撰カップ１８０ｍｌ	3	0	3	10	10	ZZ-1
38975	158987	158987	×ＪＪドミニク　テロワールセレクション　ピノノワール　７５０ｍｌ	3	0	3	10	10	ZZ-1
40607	161005	161005	　サントリー　ウオッカ８０プルーフ　７２０ｍｌ	3	0	3	10	10	ZZ-1
40702	231291	231291	　ミツカン　パッチョ　トマト＆ガーリック１Ｌ	3	0	3	10	10	ZZ-1
40709	231310	231310	　キッコーマン　こいくち　天パット缶１８Ｌ	3	0	3	10	10	ZZ-1
40723	231607	231607	　ハウス　カレーホット　２．７ｇ×１００	3	0	3	10	10	ZZ-1
42465	151054	151054	　白山ワイン　山麓　７５０ｍｌ	3	0	3	10	10	ZZ-1
42478	151152	151152	　機山　スパークリング　トラディッショナル　７５０ｍｌ	3	0	3	10	10	ZZ-1
42567	243205	243205	　岩泉ファーム　牛乳アイスモナカ９５ｍｌ	3	0	3	10	10	ZZ-1
42575	245067	245067	　ギアアンチョビペースト６０ｇ	3	0	3	327	10	Z-0-0
44238	119123	119123	　梵艶　純米大吟醸１．８Ｌ	3	0	3	10	10	ZZ-1
44278	152070	152070	　フォッシ　ロッソ　７５０ｍｌ	3	0	3	10	10	ZZ-1
44286	152145	152145	　ＬＬ　シモネ　フェブル　シャブリ７５０ｍｌ	3	0	3	327	10	Z-0-0
44334	171578	171578	　一本義　吟香梅　般若刀　７２０ｍｌ	3	0	3	10	10	ZZ-1
46147	152714	152714	　ＬＬ　ジュヴレ　シャンベルタン　７５０ｍｌ	3	0	3	10	10	ZZ-1
46186	171938	171938	　山元　にごり梅酒　梅太夫１．８Ｌ	3	0	3	327	10	Z-0-0
50400	153561	153561	　イエローテイル　メルロ　７５０ｍｌ	3	0	3	10	10	ZZ-1
50417	153755	153755	　バローネ　コルナッキア　トレッビアーノダブルッツォ　７５０ｍｌ	3	0	3	327	10	Z-0-0
21668	153893	153893	　アリウェン　レセルヴァ　ピノノワール　７５０ｍｌ	2	0	2	327	10	Z-0-0
21669	153894	153894	　アリウェン　レセルヴァ　シャルドネ　７５０ｍｌ	2	0	2	327	10	Z-0-0
21675	154009	154009	　チンザノ　ロッソ　７５０ｍｌ	2	0	2	10	10	ZZ-1
21724	155005	155005	　ロジャーグラート　カヴァ　グランキュヴェ　７５０ｍｌ	2	0	2	327	10	Z-0-0
21740	184421	184421	　チョーヤ　さらりとした梅酒　パック１Ｌ	2	0	2	10	10	ZZ-1
21803	410049	410049	　箱入りポリ絞り袋　５５ｃｍ　青色	2	0	2	10	10	ZZ-1
21804	410066	410066	　福重　ＣＦ－６０　無地７０巾　ケーキフィル	2	0	2	10	10	ZZ-1
21805	410102	410102	　バキュフレッシュ　替え栓　２個入　１個	2	0	2	10	10	ZZ-1
