status,message,real_stock_id,item_id,item_code,item_name,current_quantity,reserved_quantity,parent_available,pickable_available,missing_pickable_qty,patch_lot_id,patch_lot_location_id,pickable_current,missing_current_qty,patch_lot_current_before,patch_lot_reserved_before,patch_qty
skipped,"no active NULL/NULL pickable lot",38998,160000,160000,"部システム １６０ ",60,0,60,0,60,,,0,60,,,60
skipped,"no active NULL/NULL pickable lot",42431,114150,114150,　白鶴　上撰　サケカップ２００ｍｌ,60,0,60,0,60,,,0,60,,,60
skipped,"no active NULL/NULL pickable lot",50386,153336,153336,　フォルタン　カベルネソービニヨン　１８７ｍｌ,58,0,58,0,58,,,0,58,,,58
skipped,"no active NULL/NULL pickable lot",38913,112651,112651,　一乃谷金印カップ１８０ｍｌ,57,0,57,0,57,,,0,57,,,57
skipped,"no active NULL/NULL pickable lot",35561,111056,111056,○月桂冠上撰　キャップエース１８０ｍｌ,52,0,52,0,52,,,0,52,,,52
dry,,23750,210009,210009,　カルピス　カルピスウォーター５００ｍｌペット　,314,4,310,260,50,23691,1589,264,50,120,4,50
dry,,27580,211083,211083,　ウィルキンソン　トニック５００ｍｌＰＥＴ,227,0,227,177,50,27445,672,177,50,177,0,50
dry,,33712,213033,213033,　サントリー　なっちゃん　オレンジ４２５ｍｌペット,135,0,135,85,50,33538,2767,85,50,85,0,50
dry,,31658,211689,211689,　サントリー　のんある酒場　レモンサワー　ノンアルコール３５０ｍｌ,87,0,87,0,87,31496,1286,39,48,39,39,48
skipped,"no active NULL/NULL pickable lot",23592,122887,122887,　２５°本格芋焼酎　伊七郎７２０ｍｌ,45,0,45,0,45,,,0,45,,,45
skipped,"no active NULL/NULL pickable lot",40545,112975,112975,　小浜酒造純米酒わかさ３００ｍｌ,45,0,45,0,45,,,0,45,,,45
skipped,"no active NULL/NULL pickable lot",50395,153498,153498,　フォルタン　シャルドネ　１８７ｍｌ,45,0,45,0,45,,,0,45,,,45
skipped,"no active NULL/NULL pickable lot",23799,471017,471017,　福千歳　７２０ｍｌ　共通カートン１枚,42,0,42,0,42,,,0,42,,,42
skipped,"no active NULL/NULL pickable lot",27520,210594,210594,　サントリー　ゼロッパ　５００ｍｌ,66,0,66,24,42,,,24,42,,,42
skipped,"no active NULL/NULL pickable lot",46089,120000,120000,"部システム １２０ ",41,0,41,0,41,,,0,41,,,41
skipped,"no active NULL/NULL pickable lot",23798,471015,471015,　永平寺白龍　１．８Ｌ　１本　共通カートン１枚,40,0,40,0,40,,,0,40,,,40
skipped,"no active NULL/NULL pickable lot",23804,471100,471100,　一本義二本用箱,40,0,40,0,40,,,0,40,,,40
skipped,"no active NULL/NULL pickable lot",23803,471099,471099,　一本義一本用箱,39,0,39,0,39,,,0,39,,,39
skipped,"no active NULL/NULL pickable lot",33652,157241,157241,　サンタヘレナ　アルパカ　シャルドネセミヨン　７５０ｍｌ,39,0,39,0,39,,,0,39,,,39
