status,message,direction,mode,real_stock_id,warehouse_id,warehouse_code,item_id,item_code,item_name,real_current,real_reserved,real_available,pickable_available,delta,applied_qty,lot_ids,location_id,location_code,location_source
updated,,decrease,decrease,35257,21,21,287431,287431,　テレサ　切り出しフロランタン　ココア２５０ｇ,4,0,4,8,-4,4,35083,,,
updated,,decrease,decrease,35331,22,22,131524,131524,　桜尾蒸留所　ソガイニ　７００ｍｌ,15,0,15,19,-4,4,35157,,,
updated,,decrease,decrease,35592,91,91,112037,112037,　関西　佳撰１．８Ｌ,41,0,41,45,-4,4,35413,,,
created,,increase,create,35647,91,91,157851,157851,　　ヴァレ　ド　オーメン　ブランコ　７５０ｍｌ,4,0,4,0,4,4,56307,11,ZZ-1,item_default_location
created,,increase,create,35686,91,91,158201,158201,　ミッシェルリンチ　ボルドーブラン　７５０ｍｌ,4,0,4,0,4,4,56308,11,ZZ-1,item_default_location
created,,increase,create,35782,91,91,941002,941002,　立力やわらか牛カルビ１Ｋｇ,4,0,4,0,4,4,56309,11,ZZ-1,item_default_location
updated,,decrease,decrease,35937,8,8,141027,141027,◎キリン　ラガー　大瓶６３３ｍｌ,184,0,184,188,-4,4,35701,,,
updated,,decrease,decrease,36105,9,9,141020,141020,◎アサヒ　スーパードライ　中瓶５００ｍｌ,218,0,218,222,-4,4,35869,,,
updated,,decrease,decrease,36239,10,10,112886,112886,　梵　ときしらず７２０ｍｌ,95,0,95,99,-4,4,36003,,,
updated,,decrease,decrease,36400,10,10,211222,211222,　コカコーラ　アクエリアス５００ｍｌペット,183,0,183,187,-4,4,36164,,,
updated,,decrease,decrease,36405,10,10,211245,211245,　日本ビール　龍馬　１８６５３５０ｍｌ,83,0,83,87,-4,4,36169,,,
updated,,decrease,decrease,36696,11,11,211064,211064,　三ツ矢サイダー瓶２００ｍｌ,49,0,49,53,-4,4,36460,,,
updated,,decrease,decrease,36710,11,11,246019,246019,　名古屋コーチン　純けい串　３０ｇ１０本,-2,0,0,4,-4,4,36474,,,
updated,,decrease,decrease,36712,11,11,246070,246070,　ＪＧクイックビアソーセージ　５本入り５本,13,0,13,17,-4,4,36476,,,
updated,,decrease,decrease,36732,11,11,246425,246425,　クラモト　丸氷　Ｓサイズ１０個,12,0,12,16,-4,4,36496,,,
updated,,decrease,decrease,36758,11,11,287297,287297,　ジェイファーム　食べやすく種を抜いたやわらかプルーン１３０ｇ,7,0,7,11,-4,4,36522,,,
updated,,decrease,decrease,36759,11,11,287300,287300,　黒田米穀　福井県産　いちほまれ１０Ｋｇ,18,0,18,22,-4,4,36523,,,
updated,,decrease,decrease,36792,11,11,287404,287404,　オルソン　北海道カマンベールチーズサンド９２ｇ,0,0,0,4,-4,4,36556,,,
updated,,decrease,decrease,36807,11,11,287442,287442,　オールドエルパソ　タコシーズニング３０ｇ,13,0,13,17,-4,4,36571,,,
updated,,decrease,decrease,36814,11,11,287452,287452,　山本商店　有明産　味付き海苔,27,0,27,31,-4,4,36578,,,
updated,,decrease,decrease,36828,11,11,287467,287467,　堂島ジョリエ　バウムクーヘン１個,22,0,22,26,-4,4,36592,,,
updated,,decrease,decrease,36830,11,11,287475,287475,　丸味食品　北海道シルクスィート干し芋２２０ｇ,18,0,18,22,-4,4,36594,,,
updated,,decrease,decrease,36834,11,11,287489,287489,　五島軒　函館カレー　中辛２００ｇ,13,0,13,17,-4,4,36598,,,
updated,,decrease,decrease,36836,11,11,287491,287491,　北海道物産公社　苺ミルクプリン４３０ｇ,10,0,10,14,-4,4,36600,,,
updated,,decrease,decrease,36841,11,11,287496,287496,　セコマ　山わさび塩ラーメン１個,1,0,1,5,-4,4,36605,,,
updated,,decrease,decrease,36932,21,21,131194,131194,　サントリー角瓶　ペット　１．９２Ｌ,-2,0,0,4,-4,4,36696,,,
updated,,decrease,decrease,36968,21,21,156793,156793,　フェウド　アランチョ　カントドーロ７５０ｍｌ,3,0,3,7,-4,4,36732,,,
updated,,decrease,decrease,37000,21,21,211790,211790,　アサヒ　スタイルバランス　シャルドネスパークリング３５０ｍｌ,37,0,37,41,-4,4,36764,,,
updated,,decrease,decrease,37039,21,21,213003,213003,　ポン　オレンジジュース１００％８００ｍｌペット,4,0,4,8,-4,4,36803,,,
updated,,decrease,decrease,37072,21,21,641495,641495,　ロルフ　ベビーチーズ　プレーン４個,31,0,31,35,-4,4,36836,,,
updated,,decrease,decrease,37262,22,22,181105,181105,　アサヒ　ジノン　グレープフルーツ３５０ｍｌ,21,0,21,25,-4,4,37026,,,
updated,,increase,update,37363,91,91,112349,112349,　越前岬　蔵出し本醸造７２０ｍｌ（箱無）,10,0,10,6,4,4,37124,1510,G-06-310,existing_initial_lot
created,,increase,create,37366,91,91,112386,112386,　雲乃井　純米酒　福雲７２０ｍｌ,4,0,4,0,4,4,56310,11,ZZ-1,item_default_location
created,,increase,create,37448,91,91,158426,158426,　パラヒメネス　シャルドネ　オーガニック　７５０ｍｌ,4,0,4,0,4,4,56311,11,ZZ-1,item_default_location
updated,,decrease,decrease,37662,8,8,141080,141080,　サッポロ　ラガー　大瓶６３３ｍｌ,66,0,66,70,-4,4,37407,,,
updated,,decrease,decrease,37872,9,9,184546,184546,　キリン　本搾り　ピンクグレープフルーツ３５０ｍｌ,110,0,110,114,-4,4,37617,,,
updated,,decrease,decrease,37887,9,9,246168,246168,　十勝めむろ　えだまめ３００ｇ,27,0,27,31,-4,4,37632,,,
updated,,decrease,decrease,38029,10,10,211338,211338,　サントリー　からだ想うオールフリー３５０ｍｌ,268,0,268,272,-4,4,37774,,,
updated,,decrease,decrease,38068,10,10,244744,244744,　キタノセレクション大人のためのわさび茶漬け４４ｇ,20,0,20,24,-4,4,37813,,,
updated,,decrease,decrease,38173,11,11,123071,123071,　２５°白霧島パック１．８Ｌ,0,0,0,4,-4,4,37918,,,
updated,,decrease,decrease,38205,11,11,155241,155241,　サンテロ　天使のロッソ　７５０ｍｌ,2,0,2,6,-4,4,37950,,,
updated,,decrease,decrease,38253,11,11,155618,155618,　アムペーロ　ブリュット　７５０ｍｌ,7,0,7,11,-4,4,37998,,,
updated,,decrease,decrease,38285,11,11,211198,211198,　アサヒ　スタイルバランス　アップルスパークリング３５０ｍｌ,8,0,8,12,-4,4,38030,,,
updated,,decrease,decrease,38289,11,11,211208,211208,　コカコーラ　コカコーラ５００ｍｌペット,60,0,60,64,-4,4,38034,,,
